epoch,train_loss,train_acc,val_loss,val_acc,lr
0,1.712397813796997,25.0,1.6435601711273193,50.0,1.2844134169772217e-05
1,1.8418262004852295,0.0,1.664687991142273,50.0,1.5366639977747556e-05
2,1.8612924814224243,12.5,1.6939611434936523,50.0,1.953794334967645e-05
3,1.6233067512512207,37.5,1.6581547260284424,50.0,2.530913956738217e-05
4,1.3204290866851807,62.5,1.6260473728179932,50.0,3.261256663186719e-05
5,1.2703262567520142,50.0,1.5925652980804443,50.0,4.136259853838734e-05
6,1.0560235977172852,75.0,1.5954365730285645,50.0,5.145664916306918e-05
7,0.9817520380020142,75.0,1.4647719860076904,50.0,6.277637499141683e-05
8,0.7745346426963806,75.0,1.517045497894287,50.0,7.518906258781693e-05
9,0.6888148188591003,100.0,1.4040945768356323,50.0,8.854918453923022e-05
10,0.4682227671146393,100.0,1.3640128374099731,50.0,0.0001027001056310523
11,0.3069109618663788,100.0,1.3246629238128662,50.0,0.00011747591925179217
12,0.22691474854946136,100.0,1.175020694732666,100.0,0.00013270339249640186
13,0.15479084849357605,100.0,1.094961404800415,100.0,0.00014820399716369986
14,0.11392814666032791,100.0,0.905673086643219,100.0,0.0001637960028363001
15,0.06787155568599701,100.0,0.7543268203735352,100.0,0.0001792966075035981
16,0.02912224642932415,100.0,0.580184280872345,100.0,0.00019452408074820777
17,0.024897178635001183,100.0,0.6040388941764832,100.0,0.00020929989436894767
18,0.027685169130563736,100.0,0.4626655578613281,100.0,0.00022345081546076975
19,0.022582117468118668,100.0,0.3233565092086792,100.0,0.00023681093741218304
20,0.01295478269457817,100.0,0.1638258993625641,100.0,0.00024922362500858316
21,0.010662754066288471,100.0,0.1189337968826294,100.0,0.0002605433508369308
22,0.007555415388196707,100.0,0.09167590737342834,100.0,0.00027063740146161266
23,0.008412208408117294,100.0,0.07844685018062592,100.0,0.0002793874333681328
24,0.006527237594127655,100.0,0.037594351917505264,100.0,0.00028669086043261777
25,0.006834219675511122,100.0,0.06200897693634033,100.0,0.0002924620566503235
26,0.004693103954195976,100.0,0.036613885313272476,100.0,0.00029663336002225244
27,0.0037097285967320204,100.0,0.02451496757566929,100.0,0.0002991558658302278
28,0.004486498422920704,100.0,0.01211452390998602,100.0,0.0003
29,0.004110071342438459,100.0,0.010363277047872543,100.0,0.00029984896058535726
30,0.004529617261141539,100.0,0.012675062753260136,100.0,0.00029939614651470944
31,0.0032398139592260122,100.0,0.01167337317019701,100.0,0.00029864246969533314
32,0.004358517937362194,100.0,0.01550508663058281,100.0,0.00029758944793204124
33,0.0032620576675981283,100.0,0.008943640626966953,100.0,0.0002962392018705262
34,0.004645863082259893,100.0,0.009369379840791225,100.0,0.0002945944507266615
35,0.0031716092489659786,100.0,0.010459055192768574,100.0,0.00029265850681036326
36,0.004163287580013275,100.0,0.004867987707257271,100.0,0.0002904352688550382
37,0.004046081565320492,100.0,0.018949076533317566,100.0,0.00028792921416605406
38,0.003394835162907839,100.0,0.0038182439748197794,100.0,0.0002851453896040421
39,0.002447953913360834,100.0,0.00763445720076561,100.0,0.00028208940142119155
40,0.002325191628187895,100.0,0.006818866822868586,100.0,0.00027876740397100375
41,0.0034492998383939266,100.0,0.00442200992256403,100.0,0.00027518608731424315
42,0.002720944583415985,100.0,0.024542078375816345,100.0,0.00027135266374604547
43,0.0023737007286399603,100.0,0.004055072087794542,100.0,0.000267274853271315
